University Name,Academic Reputation SCORE,Employer Reputation SCORE,Faculty Student SCORE,Citations per Faculty SCORE,International Faculty SCORE,International Faculty SCORE
Massachusetts Institute of Technology (MIT),100,100,100,100,100,91.6
Imperial College London,99.6,100,99.3,95,100,100
Stanford University,100,100,100,99.7,94.2,73.5
University of Oxford,100,100,100,91,98.8,98.6
Harvard University,100,100,98.3,100,79.1,81.4
University of Cambridge,100,100,100,88.6,100,93.1
ETH Zurich (Swiss Federal Institute of Technology),99.7,96.3,71.7,98.8,100,99.3
National University of Singapore (NUS),99.9,98.2,71.5,95.9,100,96.9
UCL (University College London),99.9,99.4,94.8,80.9,99.6,100
California Institute of Technology (Caltech),98.3,99.2,100,100,100,90.7
The University of Hong Kong,99.3,82.5,85.3,96.6,100,100
"Nanyang Technological University, Singapore (NTU Singapore)",97.1,91.4,83.9,94.6,100,93.1
University of Chicago,99.8,99.3,97.3,78.1,86.1,92.8
Peking University,99.9,99.6,96.2,99.2,59.9,37.3
University of Pennsylvania,98.9,98.7,99.9,72,96.9,76.3
Cornell University,99.5,98.8,64.3,98,57.6,75.7
Tsinghua University,99.9,99.7,97.1,99.6,39.5,31.9
"University of California, Berkeley (UCB)",100,100,29.4,97.2,95.6,70.6
The University of Melbourne,99.7,97.4,20.5,94.8,96.7,100
The University of New South Wales,96.3,93.5,29.9,96.9,100,99.9
Yale University,100,100,100,64.8,86.7,72.7
École Polytechnique Fédérale de Lausanne,92.7,88,90,93.1,100,100
Technical University of Munich,92,99.7,70.5,92.6,86.3,98.9
Johns Hopkins University,93.2,79.2,100,85.8,70.8,94.2
Princeton University,100,99.8,67.3,100,12.7,70
The University of Sydney,98.9,94.2,15.7,94.3,99.9,100
McGill University,98.1,93.5,67.3,72.4,88.6,93.5
PSL University,82.6,98.5,98.6,85.1,69.6,75.5
University of Toronto,100,99.1,45.7,68.8,97.9,97.9
Fudan University,93.7,95.1,84.8,92.8,88.5,46.4
King's College London (KCL),96.2,91.8,74.4,70.2,99.5,99
Australian National University,97.9,82.6,40.9,91.7,100,99
The Chinese University of Hong Kong,94.2,67.3,75.9,95,100,93.3
University of Edinburgh,99.6,98.2,77.3,54.3,99.7,99.9
The University of Manchester,98.6,98.8,58.2,56.8,95.3,99.5
Monash University,95.7,87.5,11.3,93,100,100
The University of Tokyo,100,99.9,92.4,69.9,15.9,44
Columbia University,99.9,99.9,100,44.5,48.5,98.1
Seoul National University,99.7,99.1,85.6,81.2,13.2,27.5
University of British Columbia,99.6,96.5,34.7,70.9,98.5,79.8
Institut Polytechnique de Paris,58.1,99.8,94.8,97.3,99.9,99.2
Northwestern University,92.2,89.4,99.1,71.2,57.7,67.2
The University of Queensland,94.3,79.5,26.5,94.2,100,100
The Hong Kong University of Science and Technology,89.4,69.7,67.5,100,100,99.3
University of Michigan-Ann Arbor,99.3,98.5,85.7,54.5,73.9,56.1
"University of California, Los Angeles (UCLA)",100,100,43.6,84.3,50.8,31.8
Delft University of Technology,86.2,90.4,49.1,84.6,100,94.8
Shanghai Jiao Tong University,92.7,93.8,64.5,100,40.9,19.1
Zhejiang University,87,97.2,53,100,94.1,23.5
Yonsei University,91.6,97.8,84.3,67.9,30.5,74.3
University of Bristol,87.3,89.4,36.7,83.2,90.7,95.7
Carnegie Mellon University,80.1,94.4,51.1,98.6,52.4,98.7
The University of Amsterdam,92.5,72.6,27.5,87.2,98.8,95.8
The Hong Kong Polytechnic University,81.2,47.5,77.1,98.7,100,98.8
New York University (NYU),98.6,99.9,89,31.7,33.1,99.7
London School of Economics and Political Science (LSE),80.6,99.4,47.2,64,100,100
Kyoto University,99.7,99.3,94.3,50.9,22.9,29.2
Ludwig-Maximilians-Universität München,97.1,95.5,41,62.3,80.3,53.2
Universiti Malaya (UM),92.3,96.7,74.2,47.4,69.2,86.8
KU Leuven,93,63.5,9.6,94.7,95.8,65.1
Korea University,89.2,95.4,77,68.2,24.5,64
Duke University,92.9,91,100,47.1,28.3,62
City University of Hong Kong,75.5,46.7,94.8,100,100,100
National Taiwan University (NTU),97.7,94.2,38.8,70.9,25.3,59.2
The University of Auckland,91.7,55.2,17.6,79.1,100,95.5
"University of California, San Diego (UCSD)",94,80.2,54.4,80.3,43.8,47
King Fahd University of Petroleum & Minerals,53.5,75.6,92.4,93.2,100,76.2
University of Texas at Austin,97.6,96.8,10.7,85.4,9.1,19.1
Brown University,72.4,64.3,84.5,82.2,91,67
Université Paris-Saclay,75.3,99.4,99.9,42.4,45.9,72.7
University of Illinois at Urbana-Champaign,91.7,91.5,8.6,81.6,14.2,70.1
Lund University,80.1,64.1,68.1,56.6,98.8,82
Sorbonne University (merged from Paris IV & UPMC),93.2,62.1,56.4,68.8,35.5,66.8
The University of Warwick,82.7,93,48.3,43.6,99.5,99.2
"Trinity College Dublin, The University of Dublin",82.5,68.1,28.7,66,100,94.9
University of Birmingham,81.1,75.7,49.9,56.1,96.7,93.4
The University of Western Australia,69,56.5,15.1,99.2,100,100
KTH Royal Institute of Technology,60.2,62.1,68.3,88.2,95.6,81.8
University of Glasgow,88.3,73.5,50.3,44.8,98,99.1
Ruprecht-Karls-Universität Heidelberg,87.1,72.2,99.8,41.4,66.2,71.4
University of Washington,90.1,74.8,49.2,69.2,14.7,45.8
Adelaide University,78.3,62.7,30.5,69.8,100,97.5
Pennsylvania State University,86.1,85.8,29.1,67.2,37.4,38.2
Universidad de Buenos Aires,98.1,95.8,82,2.3,72.3,78.5
Tokyo Institute of Technology,85,95.7,87.6,54.2,29.8,43.4
University of Leeds,81.8,82.1,39.7,48.8,89.7,96.3
University of Southampton,62.6,55.9,40.1,87.8,96.8,98.6
Boston University,75.3,86.7,40.6,61.9,40,92.8
Freie Universität Berlin,88.3,66.4,8.3,84.3,73.8,56
Purdue University,74.3,92.7,16.4,62.4,96.4,55.3
The University of Osaka,90.5,90,45.6,65.8,25.2,21.1
The University of Sheffield,73,61.7,50.3,68.4,81.6,98
Uppsala University,74.7,48.1,66.3,55.9,99.7,82.9
Durham University,74.1,91.9,37.3,42.9,99.2,94.5
University of Alberta,70.9,53,44.6,71.5,99.4,78.6
University of Technology Sydney,58.7,66.7,11.8,99.3,97.6,91.7
The University of Nottingham,75.4,78.4,44.5,48.6,92.7,78.5
Karlsruhe Institute of Technology (KIT),57.1,87.4,48.9,77.1,83.8,56.9
Politecnico di Milano,83.4,90.1,9.3,53.9,74.4,69.3
University of Zurich (UZH),71,43.5,95.2,52.3,100,57.8
