Index,2026 Rank,2025 Rank,2024 Rank,2023 Rank,Name,Country,Region
1,1,1,1,1,Massachusetts Institute of Technology (MIT),United States of America,Americas
2,2,2,6,6,Imperial College London,United Kingdom,Europe
3,3,6,5,3,Stanford University,United States of America,Americas
4,4,3,3,4,University of Oxford,United Kingdom,Europe
5,5,4,4,5,Harvard University,United States of America,Americas
6,6,5,2,2,University of Cambridge,United Kingdom,Europe
7,7,7,7,9,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Europe
8,8,8,8,11,National University of Singapore (NUS),Singapore,Asia
9,9,9,9,8,UCL (University College London),United Kingdom,Europe
10,10,10,15,6,California Institute of Technology (Caltech),United States of America,Americas
11,11,17,26,21,The University of Hong Kong,"Hong Kong SAR, China",Asia
12,12,15,26,19,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Asia
13,13,21,11,10,University of Chicago,United States of America,Americas
14,14,14,17,12,Peking University,China (Mainland),Asia
15,15,11,12,13,University of Pennsylvania,United States of America,Americas
16,16,16,13,20,Cornell University,United States of America,Americas
17,17,20,25,14,Tsinghua University,China (Mainland),Asia
18,17,12,10,27,"University of California, Berkeley (UCB)",United States of America,Americas
19,19,13,14,33,The University of Melbourne,Australia,Oceania
20,20,19,19,45,The University of New South Wales,Australia,Oceania
21,21,23,16,18,Yale University,United States of America,Americas
22,22,26,36,16,École Polytechnique Fédérale de Lausanne,Switzerland,Europe
23,22,28,37,49,Technical University of Munich,Germany,Europe
24,24,32,28,24,Johns Hopkins University,United States of America,Americas
25,25,22,17,16,Princeton University,United States of America,Americas
26,25,18,19,41,The University of Sydney,Australia,Oceania
27,27,29,30,31,McGill University,Canada,Americas
28,28,24,24,26,PSL University,France,Europe
29,29,25,21,34,University of Toronto,Canada,Americas
30,30,39,50,34,Fudan University,China (Mainland),Asia
31,31,40,40,37,King's College London (KCL),United Kingdom,Europe
32,32,30,34,30,Australian National University,Australia,Oceania
33,32,36,47,38,The Chinese University of Hong Kong,"Hong Kong SAR, China",Asia
34,34,27,22,15,University of Edinburgh,United Kingdom,Europe
35,35,34,32,28,The University of Manchester,United Kingdom,Europe
36,36,37,42,57,Monash University,Australia,Oceania
37,36,32,28,23,The University of Tokyo,Japan,Asia
38,38,34,23,22,Columbia University,United States of America,Americas
39,38,31,41,29,Seoul National University,Republic of Korea,Asia
40,40,38,34,47,University of British Columbia,Canada,Americas
41,41,46,38,48,Institut Polytechnique de Paris,France,Europe
42,42,50,47,32,Northwestern University,United States of America,Americas
43,42,40,43,50,The University of Queensland,Australia,Oceania
44,44,47,60,40,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Asia
45,45,44,33,25,University of Michigan-Ann Arbor,United States of America,Americas
46,46,42,29,44,"University of California, Los Angeles (UCLA)",United States of America,Americas
47,47,49,47,61,Delft University of Technology,Netherlands,Europe
48,47,45,51,46,Shanghai Jiao Tong University,China (Mainland),Asia
49,49,47,44,42,Zhejiang University,China (Mainland),Asia
50,50,56,76,73,Yonsei University,Republic of Korea,Asia
